"S.
No.",Detail of Gifts,Name of Recipient,Date,"Assessed
Value","Retention
cost",Remarks
151,a)  One     Ladies     W/Watch,Mr.             Pervez,11/26/2018,"a)  Rs.400,000/-","Rs.254,000/-",Amount
,"(Rolex M178240-0005)
b)  One      Men’s      W/Watch
(Rolex M116710LN-0001)","Khattak,    Defence Minister",,"b)  Rs.900,000/-",,"deposited, gift retained"
152,One Model of Deer,"Makhdoom     Shah Mehmood  Qureshi, Foreign Minister",11/27/2018,"Rs.8,000/-",Free of cost,Retained
153,One   Model   of   Deer   (Oryx Sculpture),"Mr.   Abdul   Razak Dawood,    Advisor
to   Prime   Minister on Commerce",11/28/2018,"Rs.8,000/-",-,Deposited in Toshakhana
154,One Brass Souvenir,"Dr.      Arif      Alvi,
President           of Pakistan",12/7/2018,"Rs.12,000/-",Free of cost,Retained
155,One Scenery,"Dr.      Arif      Alvi,
President           of Pakistan",12/7/2018,"Rs.10,000/-",Free of cost,Retained
156,One Silk Brocade Painting,"Makhdoom     Shah Mehmnood Qureshi,     Foreign
Minister",12/10/2018,"Rs.15,000/-",Free of cost,Retained
157,Two Bowls (Red Color),"Mr.  Murad  Saeed,
Minister   of   State for Commerce",12/11/2018,"Rs.1,500/-",-,Deposited in Toshakhana
158,One Frame of Arabian Oryx,"Mr.  Murad  Ashraf, Chief     of     State
Protocol",12/17/2018,"Rs.25,000/-",Free of cost,Retained
159,One Qehwa Set,"Mr.   Imran   Khan,
Prime   Minister   of Pakistan",12/18/2018,"Rs.160,000/-",-,Deposited in Toshakhana
160,"a)  One Tasbih
b)  One Pen
c)  Pair of Cufflinks
d)  One W/Watch (Chopard)
e)  One Ring
f)  Oud Wood two Picket
g)  Two Perfumes","Dr.      Arif      Alvi,
President           of Pakistan",12/20/2018,"a)  Rs.576,500/-
b)  Rs.130,000/-
c)  Rs.212,450/-
d)  Rs.17,500,000/-
e)  Rs.327,000/-
f)  Rs.300,000/-
g)  Rs.175,000/",-,"Deposited in Toshakhana
Quran-e-Pak Retained"
,h)  Quran-e-Pak,,,h)  NCV,,
161,"One Shield
One Model of Kaaba","Dr.      Arif      Alvi,
President           of Pakistan",12/20/2018,NCV NCV,Free of cost,Retained
162,"a)  One Necklace
b)  One Ring
c)  One Bracelet
d)  Pair of Earing","First             Lady, Sameena Alvi",12/20/2018,"a)  Rs.8,302,460/-
b)  Rs.382,300/-
c)  Rs.5,176,200/-
d)  Rs.966,900/-",-,Deposited in Toshakhana
163,One W/Watch (Vacheron),Mr. Awab Alvi,12/20/2018,"Rs.4,000,000/-",-,Deposited in Toshakhana
164,One W/Watch (Rolex),Presented  to  Mrs. Sadiqa Awab Alvi,12/20/2018,"Rs.3,500,000/-",-,Deposited in Toshakhana
165,One W/Watch (Frank Muller),Presented  to  Mrs. Naima Alvi,12/20/2018,"Rs.5,500,000/-",-,Deposited in Toshakhana
166,One W/Watch (Rolex),"Presented  to  Maj. Gen.  Khurshid  M.
Uttra, PP(P)",12/20/2018,"Rs.1,050,000/-","Rs.510,000/-","Amount deposited, gift
retained"
167,One W/Watch (Rolex),"Presented  to  Brig.
Aamer   Amin   MS (P)",12/20/2018,"Rs.2,250,000/-","Rs.1,110,111/-","Amount
deposited, gift retained"
168,One W/Watch (Rolex),"Presented  to  Maj. Khalid         Habib,
CSO(P)",12/20/2018,"Rs.1,050,000/-","Rs.510,000/-","Amount deposited, gift
retained"
169,One W/Watch (Rolex),"Presented   to   Mr. Shehryar      Akbar
Khan,          Consul General, Jeddah",12/24/2018,"Rs.1,010,000/-","Rs.490,000/-","Amount deposited, gift retained"
170,One W/Watch (Rolex),"Presented   to   Mr. Ammar         Amin, Deputy    Chief    of
Protocol,          M/o Foreign Affairs",12/24/2018,"Rs.1,010,000/-","Rs.490,000/-","Amount deposited, gift retained"
171,One Blue Bowl,"Shah      Mehmood Qureshi,     Foreign
Minister",12/28/2018,"Rs.10,000/-",Free of cost,Retained
172,One Blue Plate,Shah      Mehmood,12/28/2018,"Rs.8,000/-",Free of cost,Retained
,,"Qureshi,     Foreign Minister",,,,
173,"One Chinese Tea Set (green, 15 pcs)","Shah      Mehmood Qureshi,     Foreign
Minister",12/28/2018,"Rs.22,000/-",Free of cost,Retained
174,One Shield,"Presented          to Chairman, HIT",12/28/2018,NCV,Free of cost,Retained
175,"a)  Two   Pockets   of   Korean Ginseng Tea
b)  One Snail Cream
c)  One Snail Serum
d)  One Eye Cream
e)  One Hydro Gel Mask
f)  One Traditional Souvenir","Presented          to Director  Marketing &      Procurement, HIT.",12/28/2018,"a)  Rs.3,000/-
b)  Rs.6,000/-
c)  Rs.3,000/-
d)  Rs.2,000/-
e)  Rs.2,000/-
f)  NCV",Free of cost,Retained
1,One Sword,"Lt.   Gen.   Syed   Wajid
Hussain, Chairman, HIT",1/11/2017,"Rs.40,000/-",-,"Displayed at PM
House"
2,"Concentrated   Perfume
(Arabian           Dagger Shaped)","Brig.   Nauman   Anwar,
Director,   Marketing    & Procurement, HIT",1/11/2017,"Rs.35,000/-",-,"Auctioned for Rs.35,500/-"
3,"Concentrated   Perfume
(Arabian           Dagger Shaped)","Col   (R)   Aqeel   Ahmed, Secretary, HIT Board",1/11/2017,"Rs.35,000/-",-,"Auctioned for Rs.35,600/-"
4,"Concentrated   Perfume
(Arabian           Dagger Shaped)","Mr.  Muhammad  Zubair, Member Finance, HIT",1/11/2017,"Rs.35,000/-",-,"Auctioned for Rs.40,000/-"
5,"a) One Crystal Vase.
b) One         Decoration Piece (Printed Plate)","Brig.   Nauman   Anwar, Managing Director, Tank Manufacture      Factory,
HIT",1/11/2017,"a)  Rs.3,000/-
b)  Rs.1,000/-",Free of cost,Retained
6,One Dagger/knife,"Mian     Raza     Rabbani, Chairman Senate",1/13/2017,"Rs.25,000/-","Rs.3,000/-","Amount
deposited, gift retained"
7,One Wooden Frame,"Mian     Raza     Rabbani,
Chairman Senate",1/26/2017,"Rs.8,000/-",Free of cost,Retained
8,"a)   One     iPhone     (6 Plus, Gold, 16GB)
b)   One         W/Watch (Movado)
(No.11385863)","Admiral        Muhammad Zakaullah  NI(M),  Naval Chief",1/31/2017,"a)  Rs.56,000/-
b)  Rs.55,000/-","Rs.20,200/-","Amount deposited, gift retained"
9,One               W/Watch,Admiral        Muhammad,1/31/2017,"Rs.55,000/-","Rs.9,000/-",Amount
,"(Raymond            Weil)
(No.V198373)","Zakaullah, Naval Chief",,,,"deposited, gift retained"
10,One  W/Watch  (Jovial) (No.16003L),"Begum               Admiral
Muhammad    Zakaullah, Naval Chief",1/31/2017,"Rs.32,000/-","Rs.4,400/-","Amount deposited, gift retained"
11,"Ladies     Jewelry     Set containing: -
(one    Necklace,    one Ring & one pair of Ear
Rings)","Begum               Admiral Muhammad    Zakaullah, Naval Chief",1/31/2017,"Rs.92,400/-","Rs.16,480/-","Amount deposited, gift retained"
12,"Ladies     Jewelry     Set containing: -
(one    Necklace,    one Ring & one pair of Ear
Rings)","Begum               Admiral Muhammad    Zakaullah, Naval Chief",1/31/2017,"Rs.49,500/-","Rs.7,900/-","Amount deposited, gift retained"
13,One Binocular (Baigish),"Admiral        Muhammad
Zakaullah, Naval Chief",1/31/2017,"Rs.6,000/-",Free of cost,Retained
14,"One  Picture  of  Bait  ul Muqadas    made    with
Ceramic Blocks","President   of   Pakistan, Mr. Mamnoon Hussain",2/2/2017,"Rs.10,000/-",Free of cost,Retained
15,One  Voyage  Souvenir (Model of Boat),"Mr.  Sartaj  Aziz,  Advisor to the Prime Minister",2/7/2017,"Rs.22,000/-","Rs.2,400/-","Amount
deposited, gift retained"
16,"a)  One Necklace.
b)  Ear Tops","Mrs.   Kulsoom   Nawaz, w/o  Prime  Minister,  Mr. Muhammad          Nawaz
Sharif",3/9/2017,"a)  Rs.117,500/-
b)  Rs.114,400/-","Rs.44,380/-","Amount deposited, gift retained"
17,"A  box  containing  one W/Watch          (Rolex)
(USX90093) and a pair",Mr.     Hussain     Nawaz Sharif,3/9/2017,"Rs.940,000/-","Rs.186,000/-","Amount deposited, gift retained"
,of cufflinks,,,,,
18,One W/Watch (Piaget),"Mr.     Shahid     Khaqan Abbasi,     Minister     for Petroleum    &    Natural
Resources",3/9/2017,"Rs.290,000/-","Rs.56,000/-","Amount deposited, gift retained"
19,"One Traditional Dagger
as a souvenir","Mr.  Sartaj  Aziz,  Advisor
to the Prime Minister",3/14/2017,"Rs.3,000/-",--,"Auctioned for
Rs.3,250/-"
20,"a)  One          W/Watch (Piaget)
b)  Pair of Cufflinks","Dr.  Miftah  Ismail,  MoS/
Chairman,     Board     of Investment",3/20/2017,"a)  Rs.300,000/-
b)  Rs.70,000/-","Rs.74,000/-","Amount deposited, gifts retained"
21,One                W/watch (Precious),"Dr.        Ajmal        Niazi, Reporter    Daily    Nawai Waqt",3/22/2017,"Rs.20,000/-","Rs.2,000/-","Amount deposited, gift retained"
22,"a)  One           Necklace (Diamond)
b)  One Table Watch","Mr.  Muhammad  Nawaz Sharif, Prime Minister of
Pakistan",3/24/2017,"a)  Rs.1,007,800/-
b)  Rs.40,000/-","Rs.207,560/-","Amount deposited, gift
retained"
23,"a)  One          W/Watch “Saint         Honore” (No.88004087-J16)
b)  Pen
c)  Pair of Cufflinks","Mr.      Nabeel      Ahmed Awan, PSO to the Prime Minister",3/27/2017,"Rs.70,000/-","Rs.12,000/-","Amount deposited, gift retained"
24,"a)  One          W/Watch (Longines)
b)  One          W/Watch
(Cartier) (CRW533008)","Mr.   Sahebzada   Ahmed Khan, Chief of Protocol",3/29/2017,"a)  Rs.105,000/-
b)  Rs.300,000/-","Rs.79,000/-","Amount deposited, gift retained"
25,One Calligraphy piece,"President   of   Pakistan, Mr. Mamnoon Hussain",3/29/2017,"Rs.30,000/-","Rs.4,000/-","Amount deposited, gift
retained"
26,Woolen    Carpet    size,"President   of   Pakistan,",3/29/2017,"Rs.250,000/-","Rs.48,000/-",Amount
,6’x10’,Mr. Mamnoon Hussain,,,,"deposited, gift retained"
27,"Woolen    Carpet    size
8’x5’","President   of   Pakistan, Mr. Mamnoon Hussain",3/29/2017,"Rs.200,000/-","Rs.38,000/-","Amount deposited, gift
retained"
28,"a)  One          W/Watch (Frederique)
No.2021938
b)  Model of Dear","President   of   Pakistan, Mr. Mamnoon Hussain",3/29/2017,"a)  Rs.300,000/-
b)  Rs.260,000/-","Rs.110,000/-","Amount deposited, gift retained"
29,One    W/Watch    (Bvl) No.09155960,"First  Lady,  wife  of  Mr. Mamnoon Hussain",3/29/2017,"Rs.500,000/-","Rs.98,000/-","Amount deposited, gift
retained"
30,"One    W/Watch    (IWC
Schaffhausen) (No.356511)","Khawaja       Muhammad
Asif,  Minister  for  Water & Power",3/31/2017,"Rs.325,000/-","Rs.63,000/-","Amount deposited, gift retained"
31,"One W/Watch (Concord
Mariner)  (No.1428661) Steel Chain","Mr.      Saeed      Akhtar, Protocol Officer, MOFA",4/2/2017,"Rs.100,000/-","Rs.18,000/-","Amount deposited, gift retained"
32,"One     IPad     (NVIDIA
Tegra K1)","Lt.     Col.     Muhammad Haroon,       DMS       to
President",4/4/2017,"RS.15,000/-","Rs.1,000/-","Amount deposited, gift retained"
33,One    W/Watch    (IWC Schaffhausen),"Mr.     Shahid     Khaqan Abbasi,     Minister     for Petroleum    &    Natural
Resources",4/5/2017,"RS.325,000/-","Rs.63,000/-","Amount deposited, gift retained"
34,"a)  One Shield.
b)  Territorial Map.
c)  One Plate.
d)  One empty Wooden Box","Mr.      Hassan      Iqbal, Secretary,   M/o   Textile Industries",4/5/2017,"a)  Rs.1,000/-
b)  Rs.1,500/-
c)  Rs.2,000/-
d)  Rs.800/-",-,"Wooden Box auctioned
for Rs.2,050/-.
Other gifts deposited in
Toshakhana"
35,One                Ceramic Decoration Piece,"Mian     Raza     Rabbani, Chairman Senate",4/7/2017,"Rs.20,000/-","Rs.2,000/-","Amount deposited, gift
retained"
36,One   W/Watch   Girard Perregaux No.49860,"Mr. Muhammad Atif Dar, Assistant      Chief      of
Protocol, MOFA",4/11/2017,"Rs.230,000/-","Rs.44,000/-","Amount deposited, gift retained"
37,One               W/Watch (Bvlgari)(L35036),"Mr.   Khurshid   Nadeem, Media Person",4/26/2017,"Rs.110,000/-","Rs.20,000/-","Amount
deposited, gift retained."
38,One W/Watch (Ebel),"Brig.   (R)   Syed   Javed Hassan,              Council General, Dubai",4/26/2017,"Rs.230,000/-","Rs.44,000/-","Amount deposited, gift retained."
39,"One    Wooden    Flower
Vase (Lacquer)","Syed     Tariq     Fatemi,
SAPM",4/26/2017,"Rs.1,500/-",-,"Deposited in
Toshakhana"
40,One Small Carpet,"Mr.  Sartaj  Aziz,  Advisor
to the Prime Minister",5/11/2017,"Rs.3,000/-",-,"Auctioned for
Rs.3,500/-"
41,"a)  One Men’s W/Watch
(Cartier)
No.423372
b)  One              Ladies W/Watch (Cartier)","Mian            Muhammad Shehbaz   Sharif,   Chief Minister of Punjab",5/13/2017,"a)  Rs.550,000/-
b)  Rs.785,000/-",-,"Auctioned for Rs.601,000/- & Rs.801,000/-"
42,One  W/Watch  (Rolex) (ZC527923) Oyster M,"Mr.  Sartaj  Aziz,  Advisor
to the Prime Minister on Foreign Affairs",5/25/2017,"Rs.980,000/-","Rs.194,000/-","Amount deposited, gift retained"
43,One  W/Watch  (Rolex) (No. G840532),"Mr.  Muhammad  Nawaz
Sharif,  Prime  Minster  of Pakistan",5/26/2017,"Rs.4,050,000/-","Rs.808,000/-","Amount deposited, gift retained"
44,"One  W/Watch  (Rolex)
(No.223N64H5/","Mr.       Fawad       Hasan
Fawad, Secretary to the",5/26/2017,"Rs.980,000/-","Rs.194,000/-","Amount deposited, gift"
,M116681),Prime Minister,,,,retained
45,"One W/Watch (Rolex) (No. CQ510174/
M116681)","Brig.  Akmal  Aziz,  MS  to the Prime Minister",5/26/2017,"Rs.980,000/-","Rs.194,000/-","Amount deposited, gift retained"
46,One Decoration Plate,"Mr. Ilyas Ahmed Belour,
Senator",5/29/2017,"Rs.1,000/-",-,"Deposited in
Toshakhana"
47,"One   W/Watch   (Rolex Yacht           Master-II-
T79189KO)","Vice  Admiral  (R)  Khan Hasham   Bin   Saddique,
Ambassador",6/1/2017,"Rs.980,000/-","Rs.194,000/-","Amount deposited, gift retained"
48,"One   W/Watch   (Rolex
Oyster           Perpetual No.116681)","Mr.  Ishaq  Dar,  Finance Minister",6/6/2017,"Rs.980,000/-","Rs.194,000/-","Amount deposited, gift retained"
49,One Shield,"Lt.    Gen.    Muhammad Naeem                Ashraf,
Chairman,            Heavy
Industries Taxila",6/20/2017,NCV,Free of cost,Retained
50,"a)  One Magnifier Glass & paper cutter
b)  One    Stone    Crest
Set","Brig.   Nauman   Anwar, Director,   Marketing    & Procurement,       Heavy
Industries Taxila",6/20/2017,"a)  Rs.500/-
b)  NCV",Free of cost,Retained
51,"One      Wrist      Watch
(Longines)",Minister for Interior,6/21/2017,"Rs.80,000/-",-,"Auctioned for Rs.81,000/-"
52,"One Flower Vase China
made (Ceramic)","President   of   Pakistan,
Mr. Mamnoon Hussain",7/4/2017,"Rs.9,000/-",Free of cost,Retained
53,"a)  One              Ladies W/Watch        (Nina Ricci).
b)  One               Gents
W/Watch (Pequignet-","Admiral        Muhammad Zakaullah,  Chief  of  the Naval Staff Pakistan",7/17/2017,"a)  Rs.35,000/-
b)  Rs.40,000/-","Rs.47,000/-","Amount deposited, gift retained"
,"Moorea).
c)  One              Ladies
W/Watch    (Omega Constellation)",,,"c)  Rs.170,000/-",,
54,"One   Gents   W/Watch (Seiko, Lord)","Admiral        Muhammad Zakaullah,  Chief  of  the
Naval Staff Pakistan",7/17/2017,"Rs.20,000/-","Rs.2,000/-","Amount deposited, gift retained"
55,One               W/Watch (Stuhrling)    with   Ball Pen,"Admiral        Muhammad Zakaullah,  Chief  of  the
Naval Staff Pakistan",7/17/2017,"Rs.160,000/-","Rs.30,000/-","Amount deposited, gift retained"
56,"One  IPhone  7,  Black, 32 GB","Admiral        Muhammad
Zakaullah,  Chief  of  the Naval Staff Pakistan",7/17/2017,"Rs.65,000/-","Rs.11,000/-","Amount deposited, gift retained"
57,One    Huawei    Mobile phone           MT7-TL10 (Ascend Mate 7).,"Admiral        Muhammad Zakaullah,  Chief  of  the
Naval Staff Pakistan",7/17/2017,"Rs.40,000/-","Rs.6,000/-","Amount deposited, gift retained"
58,One     Mobile     Phone (Coolpad/Le Eco).,"Admiral        Muhammad Zakaullah,  Chief  of  the
Naval Staff Pakistan",7/17/2017,"Rs.10,000/-",Free of cost,Retained
59,One Wooden Frame.,"Mian     Raza     Rabbani,
Chairman Senate",8/10/2017,"Rs.10,000/-",Free of cost,Retained
60,One Wooden Frame.,"Mian     Raza     Rabbani,
Chairman Senate",8/10/2017,"Rs.7,000/-",Free of cost,Retained
61,One Scenery.,"Mian     Raza     Rabbani,
Chairman Senate",8/10/2017,"Rs.5,000/-",Free of cost,Retained
62,One Decoration Piece.,"Mian     Raza     Rabbani,
Chairman Senate",8/10/2017,"Rs.7,000/-",Free of cost,Retained
63,One  Ceramic  Cup  with crystal weight.,"Mian     Raza     Rabbani, Chairman Senate",8/10/2017,Rs.600/-,Free of cost,Retained
64,Work of Art Frame,"Brig.   Nauman   Anwar, Director,   Marketing    & Procurement, HIT",8/16/2017,"Rs.7,000/-",Free of cost,Retained
65,One     Wallet     (Mont Blanc),"Brig.   Nauman   Anwar,
Director,   Marketing    & Procurement, HIT",8/16/2017,"Rs.20,000/-",-,Deposited in Toshakhana
66,"a)  One          W/Watch (Christophe Claret).
b)  Pair of Cufflinks.
c)  One Ring.
d)  One Pen (Aurora).
e)  One Tasbih.","Senator        Muhammad Ishaq     Dar,     Finance Minister of Pakistan",8/30/2017,"a)  Rs.2,500,000/-
b)  Rs.2,200,000/-
c)  Rs.1,100,000/-
d)  Rs.80,000/-
e)  Rs.550,000/-","Rs.1,280,000/-","Amount deposited, gift retained"
67,Model of Hazrat Sultan Mosque.,"President   of   Pakistan, Mr. Mamnoon Hussain",9/21/2017,NCV,Free of cost,Retained
68,"a)  Coin (Golden).
b)  Book Jewelry Art of Kazakhstan.","President   of   Pakistan, Mr. Mamnoon Hussain",9/21/2017,NCV,Free of cost,Retained
69,"a)  Empire Table Set.
b)  Box         Containing Jewelry.
c)  Piece of Cloth.","First  Lady  of  Pakistan, Wife   of   Mr.   Mamnoon Hussain",9/21/2017,"a)  Rs.30,000/-
b)  Rs.15,000/-
c)  NCV","Rs.7,000/-","Amount deposited, gift retained"
70,"One        white        box containing       (Carpet,
Golden               Horse,
Cufflinks,  Pin,  Leather Belt & W/Watch.","President   of   Pakistan, Mr. Mamnoon Hussain",9/21/2017,"Rs.22,000/-","Rs.2,400/-","Amount deposited, gift retained"
71,"One        white        box containing       (Carpet,
Golden               Horse, Cufflinks,  Pin,  Leather","First  Lady  of  Pakistan, Wife   of   Mr.   Mamnoon Hussain",9/21/2017,"Rs.22,000/-","Rs.2,400/-","Amount deposited, gift retained"
,Belt & W/Watch.,,,,,
72,One    German    Silver Plate,"Mian     Raza     Rabbani, Chairman Senate",10/9/2017,"Rs.16,000/-","Rs.1,200/-","Amount
deposited, gift retained"
73,One Decoration Piece,"Mian     Raza     Rabbani,
Chairman Senate",10/9/2017,NCV,Free of cost,Retained
74,One               W/Watch (Frederique     Constant Geneve),"Mian     Raza     Rabbani, Chairman Senate",10/9/2017,"Rs.350,000/-","Rs.68,000/-","Amount deposited, gift retained"
75,One  W/Watch  (Girard- Perregaux)  (No.99105- 41-232-BB6A).,"Sahebzada          Ahmed Khan,             Additional Secretary    /    Chief    of
State Protocol",10/17/2017,"Rs.2,800,000/-","Rs.554,000/-","Amount deposited, gift retained"
76,"a)  One      W/Watch (Hublot 1971046 – 405.0X9108.LR.
9904).
b)  Pair of cufflinks.
c)  One Pen.
d)  One Ring.
e)  One Tasbih.","Prime       Minister       of Pakistan,
Mr.     Shahid     Khaqan Abbasi",10/17/2017,"a)  Rs.15,000,000/-
b)  Rs.1,200,000/-
c)  Rs.1,500,000/-
d)  Rs.3,000,000/-
e)  Rs.1,850,000/-","Rs.4,504,000/-","Amount deposited, gift retained"
77,"One       jewelry       set including one necklace, a pair of ear tops, one
ring & one bracelet","Ms.   Sameena   Shahid, wife    of    Mr.    Shahid Khaqan   Abbasi,   Prime
Minister,",10/17/2017,"Rs.99,984,000/-","Rs.19,990,800","Amount deposited, gift retained"
78,"a)  One      W/Watch (GIRARD- PERREGAUX) (GEP000047- 99815).
b)  Pair of Cufflinks.",Dr. Abid Riaz,10/17/2017,"a)  Rs.2,800,000/-
b)  Rs.1,600,000/-","Rs.1,594,000/-","Amount deposited, gift retained"
,"c)  One Pen.
d)  One Ring.
e)  One Tasbih.",,,"c)  Rs.650,000/-
d)  Rs.1,600,000/-
e)  Rs.1,350,000/-",,
79,"a)  One      W/Watch (Harry  Winston) (HCOMDT)WW00 2-084521.
b)  Pair of cufflinks.
c)  One Pen
d)  One Ring.
e)  One Tasbih",Mr.    Abdullah    Khaqan Abbasi.,10/17/2017,"a)  Rs.3,200,000/-
b)  Rs.7,650,000/-
c)  Rs.1,100,000/-
d)  Rs.6,630,000/-
e)  Rs.2,766,000/-","Rs.4,263,200/-","Amount deposited, gift retained"
80,"a)  One      W/Watch (Harry  Winston) (MIDATG44WW0 01-061589).
b)  Pair of Cufflinks.
c)  One Pen.
d)  One Ring.
e)  One Tasbih",Mr. Qasim Khan,10/17/2017,"a)  Rs.3,000,000/-
b)  Rs.350,000/-
c)  Rs.150,000/-
d)  Rs.400,000/-
e)  Rs.1,500,000/-","Rs.1,074,000/-","Amount deposited, gift retained"
81,"a)  One      W/Watch (Rolex) (No.94A66033  – 218206-83216).
b)  Pair of Cufflinks.
c)  One Ring.
d)  One Pen.
e)  One Tasbih.","Mr.       Fawad       Hasan Fawad, Secretary to the Prime Minister.",10/17/2017,"a)  Rs.3,500,000/-
b)  Rs.125,000/-
c)  Rs.85,000/-
d)  Rs.350,000/-
e)  Rs.110,000/-","Rs.828,000/-","Amount deposited, gift retained"
82,"a)  One      W/Watch (Harry  Winston) (HWTO1118- 53103).
b)  Pair of Cufflinks.
c)  One Ring.
d)  One Pen.","Brig.       Akmal       Aziz, Military Secretary to the Prime Minister.",10/17/2017,"a)  Rs.3,200,000/-
b)  Rs.80,000/-
c)  Rs.60,000/-
d)  Rs.150,000/-","Rs.732,000/-","Amount deposited, gift retained"
